ZIP,Geography,Total_Population,Median_Age,Median_Household_Income,Population_65_Plus,Percent_65_Plus,Population_Below_Poverty,Poverty_Rate,Population_Under_65,Uninsured_Under_65,Uninsured_Rate_Under_65
98110,ZCTA5 98110,24681,49.5,151290,6743,27.320610996312954,721,2.9212754750617886,17872,572,2.3175722215469388
98310,ZCTA5 98310,21692,36.6,68247,3643,16.79420984694818,2763,12.737414715102341,17173,2026,9.33984879218145
98311,ZCTA5 98311,27527,36.4,95595,5170,18.781559922984705,1923,6.985868420096632,20946,1491,5.41650016347586
98312,ZCTA5 98312,32288,36.6,78664,5232,16.20416253716551,3666,11.35406342913776,25945,1558,4.8253221010901886
98314,ZCTA5 98314,1565,22.1,204250,0,0.0,21,1.34185303514377,99,0,0.0
98315,ZCTA5 98315,6045,22.8,76806,12,0.19851116625310172,114,1.8858560794044668,2630,14,0.23159636062861869
98320,ZCTA5 98320,1483,56.2,52045,587,39.581928523263656,177,11.935266351989211,896,54,3.6412677006068783
98329,ZCTA5 98329,11223,42.3,103750,2210,19.691704535329237,519,4.62443197006148,8952,168,1.4969259556268377
98337,ZCTA5 98337,8785,33.3,69188,852,9.698349459305634,1002,11.405805350028457,6158,586,6.670461013090495
98340,ZCTA5 98340,2692,68.3,95106,1571,58.35809806835067,44,1.634472511144131,1121,132,4.903417533432393
98342,ZCTA5 98342,1362,53.7,90139,408,29.955947136563875,116,8.516886930983848,952,76,5.580029368575625
98345,ZCTA5 98345,284,57.0,128221,58,20.422535211267608,20,7.042253521126761,176,0,0.0
98346,ZCTA5 98346,9973,50.1,106038,2539,25.45873859420435,763,7.650656773287877,7429,436,4.371803870450216
98353,ZCTA5 98353,14,-666666666.0,-666666666,0,0.0,0,0.0,14,0,0.0
98359,ZCTA5 98359,4889,43.6,90858,1069,21.86541214972387,599,12.251994272857434,3788,205,4.193086520760892
98364,ZCTA5 98364,57,17.4,-666666666,0,0.0,0,0.0,57,0,0.0
98366,ZCTA5 98366,37437,38.2,85630,6099,16.29136950076128,4309,11.510003472500467,30069,2030,5.422443037636563
98367,ZCTA5 98367,31186,41.6,100428,4956,15.891746296415057,2137,6.852433784390431,25629,1260,4.040274482139421
98370,ZCTA5 98370,32862,44.9,103323,7095,21.590286653277342,2029,6.1743046680055995,25043,952,2.896963057634958
98380,ZCTA5 98380,5582,41.9,108895,1042,18.667144392690794,418,7.48835542816195,4372,219,3.923324973127911
98383,ZCTA5 98383,22764,38.2,105580,4119,18.094359515023722,1176,5.166051660516605,16894,1452,6.378492356352135
98392,ZCTA5 98392,3203,45.8,80673,784,24.477052763034653,280,8.741804558226661,2392,193,6.0256009990633785
