FACILITY_ID,NAME,ADDRESS,CITY,ZIP,TYPECARE,TYPE,PROVIDERS,PHYSICIANS,FP_GP,IM,PEDS,OB_GYN,PA,NP,LMW,POINT_X,POINT_Y,FACILITY_CATEGORY,HOSPITAL_BEDS,ICU_AVAILABLE,ACUTE_CARE,CRITICAL_ACCESS
1,PCHS Port Orchard,320 South Kitsap Blvd,Port Orchard,98366,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108512.3688,805622.207955,Clinic,0,No,No,No
2,Suquamish Tribe,18465 Augusta Ave,Suquamish,98392,Mental,Tribal/FQHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135227.1215,880740.533244,Clinic,0,No,No,No
3,Westbay Medical Center (Robert C Browning MD),Westbay Medical Center,Port Orchard,98366,Primary,Private,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1124148.95746,809756.624456,Clinic,0,No,No,No
4,Virginia Mason Winslow,3830 Winslow Way E,Bainbridge Isl,98110,Primary,Private,11.0,10.0,6.0,1.0,3.0,0.0,0.0,1.0,0.0,1142717.77477,842093.791568,Clinic,0,No,No,No
5,Port Orchard Clinic (PCHS),"1950 Pottery Ave, Lower Level",Port Orchard,98366,Primary,FQHC,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1108599.31518,804431.96102,Clinic,0,No,No,No
6,Poulsbo Clinic (PSNHC),"19045 Highway 305, Plaza 305,",Poulsbo,98370,Primary,FQHC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1114417.55468,883426.431869,Clinic,0,No,No,No
7,Steffan Tolles MD,"1780 NW Myhre Rd,",Silverdale,98383,Primary,Private,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1103898.48411,853645.383303,Clinic,0,No,No,No
8,The Doctors Clinic Womens & Childrens Center,"1780 NW Myhre Rd,",Silverdale,98383,Primary,Private,7.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1103898.48411,853645.383303,Clinic,0,No,No,No
9,Central OB/GYN - Silverdale,"1780 NW Myhre Rd.,",Silverdale,98383,Primary,Private,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1103898.48411,853645.383303,Clinic,0,No,No,No
10,South Kitsap Family Care Clinic,1826 Fircrest Dr SE,Port Orchard,98366,Primary,Private,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1121918.65895,808875.196963,Clinic,0,No,No,No
11,"Kitsap Childrens Clinic, LLP - Poulsbo","19351 8th Ave NE,",Poulsbo,98370,Primary,Private,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1114074.85794,884313.331167,Clinic,0,No,No,No
12,Bruce Carlton MD,"19365 7th Ave NE,",Poulsbo,98370,Primary,Private,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1113650.62691,884317.013427,Clinic,0,No,No,No
13,Susan J Schlifer MD,"19365 7th Ave NE,",Poulsbo,98370,Primary,Private,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1113650.62691,884317.013427,Clinic,0,No,No,No
14,Liberty Bay Internal Medicine,20730 Bond Rd NE,Poulsbo,98370,Primary,Private,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1112136.66027,888975.524215,Clinic,0,No,No,No
15,North Kitsap Pediatrics,20730 Bond Rd NE,Poulsbo,98370,Primary,Private,7.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1112136.66027,888975.524215,Clinic,0,No,No,No
16,North Kitsap Family Practice & Urgent Care,20730 Bond Rd NE,Poulsbo,98370,Primary,Private,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1112136.66027,888975.524215,Clinic,0,No,No,No
17,South Kingston Internal Medicine,25989 Barber Cutoff Rd Ste A-3,Kingston,98346,Primary,Private,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1146277.71683,905301.601264,Clinic,0,No,No,No
18,North Kitsap Family Practice - Kingston,25995 Barber Cut Off Rd NE,Kingston,98346,Primary,Private,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1146263.45155,905306.994569,Clinic,0,No,No,No
19,Port Gamble SKlallam Tribal Clinic,31912 Little Boston Rd NE,Kingston,98346,"Primary, Mental, Dental",Tribal/FQHC,5.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1132085.27476,925831.313503,Clinic,0,No,No,No
20,Bainbridge Island Clinic (PCHS),420 Bjune Dr.,Bainbridge Isl,98110,Primary,FQHC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1143147.81504,841651.457973,Clinic,0,No,No,No
